utc,forecast_MWh
20221011T07Z,2046
20221011T06Z,2195
20221011T05Z,2370
20221011T04Z,2526
20221011T03Z,2680
20221011T02Z,2731
20221011T01Z,2722
20221011T00Z,2645
20221010T23Z,2580
20221010T22Z,2525
20221010T21Z,2497
20221010T20Z,2467
20221010T19Z,2435
20221010T18Z,2436
20221010T17Z,2450
20221010T16Z,2446
20221010T15Z,2402
20221010T14Z,2229
20221010T13Z,1993
20221010T12Z,1852
20221010T11Z,1810
20221010T10Z,1819
20221010T09Z,1852
20221010T08Z,1953
20221010T07Z,2026
20221010T06Z,2202
20221010T05Z,2416
20221010T04Z,2579
20221010T03Z,2721
20221010T02Z,2760
20221010T01Z,2738
20221010T00Z,2628
20221009T23Z,2497
20221009T22Z,2407
20221009T21Z,2343
20221009T20Z,2289
20221009T19Z,2241
20221009T18Z,2193
20221009T17Z,2139
20221009T16Z,2086
20221009T15Z,1990
20221009T14Z,1908
20221009T13Z,1834
20221009T12Z,1811
20221009T11Z,1818
20221009T10Z,1848
20221009T09Z,1904
20221009T08Z,2004
20221009T07Z,2035
20221009T06Z,2193
20221009T05Z,2353
20221009T04Z,2470
20221009T03Z,2604
20221009T02Z,2626
20221009T01Z,2609
20221009T00Z,2525
20221008T23Z,2430
20221008T22Z,2349
20221008T21Z,2322
20221008T20Z,2297
20221008T19Z,2280
20221008T18Z,2273
20221008T17Z,2244
20221008T16Z,2183
20221008T15Z,2080
20221008T14Z,1979
20221008T13Z,1877
20221008T12Z,1832
20221008T11Z,1827
20221008T10Z,1853
20221008T09Z,1920
20221008T08Z,2007
20221008T07Z,2148
20221008T06Z,2326
20221008T05Z,2498
20221008T04Z,2646
20221008T03Z,2770
20221008T02Z,2783
20221008T01Z,2787
20221008T00Z,2702
20221007T23Z,2625
20221007T22Z,2550
20221007T21Z,2498
20221007T20Z,2454
20221007T19Z,2412
20221007T18Z,2430
20221007T17Z,2431
20221007T16Z,2416
20221007T15Z,2376
20221007T14Z,2234
20221007T13Z,2017
20221007T12Z,1884
20221007T11Z,1851
20221007T10Z,1861
20221007T09Z,1912
20221007T08Z,1997
20221007T07Z,2213
20221007T06Z,2414
20221007T05Z,2631
20221007T04Z,2805
20221007T03Z,2933
20221007T02Z,2930
20221007T01Z,2910
20221007T00Z,2813
20221006T23Z,2734
20221006T22Z,2647
20221006T21Z,2590
20221006T20Z,2538
20221006T19Z,2517
20221006T18Z,2515
20221006T17Z,2477
20221006T16Z,2464
20221006T15Z,2453
20221006T14Z,2297
20221006T13Z,2050
20221006T12Z,1901
20221006T11Z,1857
20221006T10Z,1860
20221006T09Z,1897
20221006T08Z,1971
20221006T07Z,2139
20221006T06Z,2327
20221006T05Z,2540
20221006T04Z,2712
20221006T03Z,2836
20221006T02Z,2830
20221006T01Z,2806
20221006T00Z,2726
20221005T23Z,2658
20221005T22Z,2600
20221005T21Z,2571
20221005T20Z,2562
20221005T19Z,2570
20221005T18Z,2541
20221005T17Z,2492
20221005T16Z,2463
20221005T15Z,2428
20221005T14Z,2284
20221005T13Z,2056
20221005T12Z,1893
20221005T11Z,1840
20221005T10Z,1837
20221005T09Z,1871
20221005T08Z,1962
20221005T07Z,2113
20221005T06Z,2298
20221005T05Z,2501
20221005T04Z,2691
20221005T03Z,2824
20221005T02Z,2820
20221005T01Z,2803
20221005T00Z,2710
20221004T23Z,2641
20221004T22Z,2575
20221004T21Z,2550
20221004T20Z,2542
20221004T19Z,2542
20221004T18Z,2516
20221004T17Z,2461
20221004T16Z,2451
20221004T15Z,2427
20221004T14Z,2274
20221004T13Z,2042
20221004T12Z,1895
20221004T11Z,1862
20221004T10Z,1881
20221004T09Z,1927
20221004T08Z,2023
20221004T07Z,2243
20221004T06Z,2463
20221004T05Z,2682
20221004T04Z,2888
20221004T03Z,3033
20221004T02Z,3020
20221004T01Z,2988
20221004T00Z,2884
20221003T23Z,2788
20221003T22Z,2689
20221003T21Z,2606
20221003T20Z,2522
20221003T19Z,2420
20221003T18Z,2373
20221003T17Z,2384
20221003T16Z,2412
20221003T15Z,2392
20221003T14Z,2243
20221003T13Z,1998
20221003T12Z,1870
20221003T11Z,1830
20221003T10Z,1849
20221003T09Z,1899
20221003T08Z,2006
20221003T07Z,2243
20221003T06Z,2443
20221003T05Z,2655
20221003T04Z,2848
20221003T03Z,2974
20221003T02Z,2953
20221003T01Z,2911
20221003T00Z,2808
20221002T23Z,2692
20221002T22Z,2576
20221002T21Z,2471
20221002T20Z,2362
20221002T19Z,2267
20221002T18Z,2181
20221002T17Z,2134
20221002T16Z,2015
20221002T15Z,1945
20221002T14Z,1888
20221002T13Z,1821
20221002T12Z,1793
20221002T11Z,1796
20221002T10Z,1831
20221002T09Z,1900
20221002T08Z,1988
20221002T07Z,2211
20221002T06Z,2382
20221002T05Z,2550
20221002T04Z,2691
20221002T03Z,2795
20221002T02Z,2753
20221002T01Z,2706
20221002T00Z,2618
20221001T23Z,2524
20221001T22Z,2432
20221001T21Z,2354
20221001T20Z,2278
20221001T19Z,2220
20221001T18Z,2163
20221001T17Z,2145
20221001T16Z,2105
20221001T15Z,2023
20221001T14Z,1940
20221001T13Z,1849
20221001T12Z,1800
20221001T11Z,1792
20221001T10Z,1808
20221001T09Z,1864
20221001T08Z,1940
20221001T07Z,2116
20221001T06Z,2280
20221001T05Z,2437
20221001T04Z,2593
20221001T03Z,2692
20221001T02Z,2715
20221001T01Z,2713
20221001T00Z,2638
20220930T23Z,2562
20220930T22Z,2500
20220930T21Z,2471
20220930T20Z,2452
20220930T19Z,2471
20220930T18Z,2485
20220930T17Z,2463
20220930T16Z,2437
20220930T15Z,2367
20220930T14Z,2188
